dataset_row_number,record_id,document_name,record_type,court_family,judgment_number,actions,substantive_action_count,old_record_sha256,new_record_sha256,hash_refreshed
1,zimlex-2022-4a9e4bb4172a7be7c277,CCZ 6 - 22 Zimrights v Parliament et al(3).docx,law_report_draft,Constitutional Court,Judgment No. CCZ 06/22,,0,c3f4a770e4912ff9151d84e2620b04dbb5efc39ab717fa819033df87399132d6,2d6bded32976ac576007b3abe53cab3bf539f06035cc9a13195448bef71b64bf,True
2,zimlex-2022-2ab504179c6fdfaba6de,CCZ 7 - 22 BERNARD SHEUNESU SIBANGANI(3).docx,law_report_draft,Constitutional Court,Judgment No. CCZ 07/22,,0,dd29f1f6e67b40c7ac7771713d939083c167bccf1679725ea79abd0768f56b65,4832686b4f1ab3f42c80777b51436cf7bc164c21ece54548d90552629d4109dd,True
3,zimlex-2022-346254360b3d044ee426,CCZ1-2~1(2).DOC,excluded,Constitutional Court,Judgment No. CCZ 1/22,,0,0ac5c5d719939b8bef3e29853c362f91ac0eb9e6628aa5c60f6c9de57439643e,5195cc7bcc50df1035819b149f7ca5222412dbc361f186abd8c8da439233bcb3,True
4,zimlex-2022-72f59b434f4e3cbd1168,CCZ 10 - 22 Bere v JSC et al(3).docx,law_report_draft,Constitutional Court,Judgment No. CCZ 10/22,,0,812c8cecd33f588dd33e121d48ef978e946974f1ef103a187bb157e3f4728b9b,02242ccea7723af6491e96b9006e2ebaef8e4547254795cc2034b14bc5f8de95,True
5,zimlex-2022-80afa9d8442dd2755ee5,CCZ 2 - 22 Mutumwa Mawere case no ccz11(1)(3).docx,excluded,Constitutional Court,Judgment No. CCZ 2/22,,0,162830c0a5059e0746ccb9472301acc016fecce487bbc9cafb58a9dff971dad1,6cfa5e26655952767a6792cbebfc98daff87a4fea3bb66d711d9f10f5f0cdfba,True
6,zimlex-2022-980baaf9da6565aabc9e,CCZ 3 - 22 Diana Eunice Kawenda Case No CCZ 12(3).docx,excluded,Constitutional Court,Judgment No. CCZ 3/22,,0,e4cda2d57e0c5a9bf8cbbff101edba61bfbd40753426f017a63488d4e90f7cb0,6edfa91f16839af14f37b1fe8c84a36d2dcf92d32fd96eaeec202905d57e8f9c,True
7,zimlex-2022-f5a6fac5e0eeacd29b4e,CCZ 4 - 22 Joanah Mamombe(3).docx,excluded,Constitutional Court,Judgment No. CCZ 4/22,,0,b0f581252eae1d551939c2726886b6deea112d40b8149be8eb644d7f2c6ecac3,4c9c2f181fe4fd2b54383a3c1987b1b65a3c912031088e111cf8d7d587023513,True
8,zimlex-2022-2db9d0632c54eeedd3a0,CCZ 5 - 22 Mhora v Mhora(3).docx,law_report_draft,Constitutional Court,Judgment No. CCZ 5/22,,0,c5abfbf3e6d2f3350db499075ad65d610dcb11938576753a86a68f6de103e9c6,6cc7403aa70cd5552f1590cf593f14e6b85d3676a8e75823e701ccabf76d2f5b,True
9,zimlex-2022-3e6d73dc0180615ecc70,CCZ 8 - 22 Ignatius Morgen Chiminya Chombocase no CCZ 33(3).docx,excluded,Constitutional Court,Judgment No. CCZ 8/22,,0,9c3a26103480f7016023a5bdfac040bd53270ab3ffc4cb1f3a0c21377cc2ee25,79debe94195e72b265c1f5592c6ee3f18e186f9c510c579348279e56c16cda3f,True
10,zimlex-2022-64a0e5fc55b987113c2e,CCZ 9 - 22 Minister of Mines & Anor v Fidelity Printers & Anor(3).docx,law_report_draft,Constitutional Court,Judgment No. CCZ 9/22,cleared:division:non_high_court_record,1,87b8b0053a4488efba8426f79027c656d12ccca451b12a0860bf80282cc8d438,fdb8565eb0f2c411f04fc60b64058bde44fe5eabaa47b3ef662113c498bed902,True
